,icont,frequency,vc,vb,mode,corner,temperature,bias_current
658,0.00015,3455360.0,1.48459,0.439186,C-decoupled,ss,50.0,0.00015
659,7.5e-05,2461640.0,1.13522,0.61946,C-decoupled,ff,50.0,7.5e-05
660,7.5e-05,2513740.0,1.12221,0.58803,C-coupled,ff,27.0,7.5e-05
661,0.00015,4048040.0,1.38188,0.406091,schematic,tt,0.0,0.00015
662,0.000225,3608290.0,1.75618,0.428358,C-decoupled,sf,100.0,0.000225
663,0.00025,4150960.0,1.66497,0.335075,C-decoupled,sf,27.0,0.00025
664,0.000175,4005520.0,1.41955,0.412535,C-coupled,ff,0.0,0.000175
665,0.00025,3997310.0,1.83381,0.484934,schematic,ff,100.0,0.00025
666,0.00015,5e-07,1.37772,0.351556,schematic,ss,-25.0,0.00015
667,0.00025,4046180.0,1.66497,0.335075,C-coupled,sf,27.0,0.00025
668,2.5e-05,528497.0,0.922423,0.695217,schematic,fs,-25.0,2.5e-05
669,0.00015,3099520.0,1.4889,0.479014,full-RC,sf,100.0,0.00015
670,0.000125,3570990.0,1.30661,0.431811,C-decoupled,tt,0.0,0.000125
671,0.0001,2905580.0,1.28331,0.540874,schematic,sf,100.0,0.0001
672,0.000125,3611170.0,1.27711,0.461914,C-decoupled,ff,0.0,0.000125
673,0.0002,4483540.0,1.4745,0.342333,C-decoupled,tt,-25.0,0.0002
674,2.5e-05,5e-07,0.905287,0.798599,C-decoupled,ss,100.0,2.5e-05
675,0.000125,3085350.0,1.3582,0.473652,C-coupled,sf,75.0,0.000125
676,0.000125,3454090.0,1.30625,0.495609,C-decoupled,ff,27.0,0.000125
677,0.00015,3848490.0,1.45111,0.487446,schematic,fs,27.0,0.00015
678,0.000175,3654840.0,1.53199,0.44519,C-decoupled,tt,50.0,0.000175
679,0.000175,3620150.0,1.49669,0.472593,full-RC,ff,50.0,0.000175
680,0.00025,4146650.0,1.84975,0.473393,schematic,fs,75.0,0.00025
681,0.00025,4231040.0,1.74021,0.418376,C-coupled,fs,27.0,0.00025
682,0.000225,4197110.0,1.59867,0.412522,C-decoupled,ff,27.0,0.000225
683,0.000225,4105790.0,1.54604,0.315584,full-RC,sf,0.0,0.000225
684,2.5e-05,5e-07,0.854999,0.688135,C-decoupled,sf,50.0,2.5e-05
685,0.00015,3526880.0,1.45271,0.526296,schematic,ff,75.0,0.00015
686,0.000225,3780840.0,1.72321,0.39051,C-coupled,ss,50.0,0.000225
687,0.000125,3444470.0,1.27322,0.380778,full-RC,sf,0.0,0.000125
688,5e-05,1806160.0,1.02496,0.666273,schematic,sf,100.0,5e-05
689,0.00015,3803630.0,1.38619,0.390446,schematic,sf,27.0,0.00015
690,0.000125,2896710.0,1.42389,0.556617,full-RC,tt,100.0,0.000125
691,5e-05,1896470.0,1.00231,0.559147,C-coupled,sf,27.0,5e-05
692,0.00015,3133750.0,1.52445,0.527599,C-coupled,tt,100.0,0.00015
693,2.5e-05,707241.0,0.910382,0.683092,C-decoupled,ss,27.0,2.5e-05
694,7.5e-05,2472630.0,1.22271,0.618054,schematic,ss,100.0,7.5e-05
695,0.000125,2989360.0,1.45853,0.526653,C-decoupled,ss,100.0,0.000125
696,2.5e-05,503082.0,0.872141,0.663799,C-coupled,ff,-25.0,2.5e-05
697,0.00015,5e-07,1.41247,0.380244,schematic,ss,0.0,0.00015
698,7.5e-05,2443390.0,1.16273,0.584371,full-RC,tt,50.0,7.5e-05
699,0.000175,3556090.0,1.53724,0.503011,C-decoupled,ff,75.0,0.000175
700,0.0001,3329530.0,1.23581,0.494078,full-RC,fs,-25.0,0.0001
701,5e-05,1646050.0,1.04734,0.69124,full-RC,tt,75.0,5e-05
702,0.000125,3280030.0,1.39256,0.525027,schematic,tt,75.0,0.000125
703,5e-05,1741110.0,1.05815,0.644834,C-coupled,fs,0.0,5e-05
704,0.0002,3772500.0,1.57298,0.38393,C-decoupled,sf,50.0,0.0002
705,0.000125,3375950.0,1.36811,0.43648,C-decoupled,ss,27.0,0.000125
706,5e-05,1741740.0,1.05815,0.644834,full-RC,fs,0.0,5e-05
707,7.5e-05,2467160.0,1.20891,0.678286,schematic,fs,75.0,7.5e-05
708,5e-05,1592270.0,1.07943,0.752132,C-decoupled,fs,75.0,5e-05
709,0.000175,4187270.0,1.41318,0.357603,C-coupled,tt,-25.0,0.000175
710,2.5e-05,5e-07,0.912764,0.640987,C-coupled,ss,0.0,2.5e-05
711,0.00025,5e-07,1.60589,0.369402,C-coupled,ff,0.0,0.00025
712,0.0001,2692030.0,1.28348,0.630819,C-decoupled,ff,100.0,0.0001
713,0.000225,4044450.0,1.64842,0.371323,schematic,sf,50.0,0.000225
714,2.5e-05,859929.0,0.861996,0.608529,schematic,sf,0.0,2.5e-05
715,0.0002,3994060.0,1.57525,0.383991,schematic,sf,50.0,0.0002
716,0.000225,3604800.0,1.83796,0.447218,C-decoupled,ss,100.0,0.000225
717,0.00015,3360840.0,1.55805,0.576588,schematic,fs,100.0,0.00015
718,0.0001,2734730.0,1.29098,0.563656,full-RC,tt,75.0,0.0001
719,5e-05,1660520.0,1.02295,0.66626,full-RC,sf,100.0,5e-05
720,7.5e-05,2743030.0,1.15965,0.484406,C-coupled,ss,0.0,7.5e-05
721,0.000175,5e-07,1.44787,0.40378,C-coupled,fs,-25.0,0.000175
722,0.000125,4001110.0,1.31007,0.454591,schematic,fs,-25.0,0.000125
723,2.5e-05,613188.0,0.888123,0.714297,schematic,tt,27.0,2.5e-05
724,0.00025,4334470.0,1.60629,0.305757,full-RC,sf,0.0,0.00025
725,5e-05,1813370.0,1.06577,0.621437,full-RC,ss,50.0,5e-05
726,0.000175,3729990.0,1.45965,0.372251,full-RC,sf,27.0,0.000175
727,0.0002,3973540.0,1.60341,0.446192,full-RC,fs,27.0,0.0002
728,0.00025,3761120.0,1.77493,0.388519,C-coupled,sf,75.0,0.00025
729,7.5e-05,2514500.0,1.16273,0.584371,C-decoupled,tt,50.0,7.5e-05
730,0.0002,5e-07,1.44292,0.366549,schematic,ff,-25.0,0.0002
731,0.00025,5e-07,1.67796,0.387804,schematic,fs,0.0,0.00025
732,0.000175,3331550.0,1.61883,0.505146,C-coupled,tt,100.0,0.000175
733,0.0001,3006970.0,1.28136,0.558775,full-RC,fs,27.0,0.0001
734,0.00015,3266880.0,1.48621,0.49687,C-coupled,tt,75.0,0.00015
735,7.5e-05,2882740.0,1.11844,0.484603,C-decoupled,tt,-25.0,7.5e-05
736,0.0002,4229670.0,1.55452,0.414895,full-RC,fs,0.0,0.0002
737,0.00025,4282360.0,1.79482,0.379356,schematic,ss,50.0,0.00025
738,0.0001,3077700.0,1.21506,0.445733,C-decoupled,sf,27.0,0.0001
739,0.0002,3785320.0,1.57223,0.454434,C-coupled,ff,50.0,0.0002
740,0.00015,3819300.0,1.4185,0.438393,schematic,tt,27.0,0.00015
741,0.00025,3707330.0,1.83247,0.484886,C-coupled,ff,100.0,0.00025
742,0.000225,4428330.0,1.61867,0.400226,C-decoupled,fs,0.0,0.000225
743,0.000175,3568240.0,1.49642,0.399183,C-coupled,sf,50.0,0.000175
744,0.0002,3672290.0,1.64743,0.403648,C-coupled,ss,50.0,0.0002
745,0.0001,2867490.0,1.30184,0.588064,full-RC,fs,50.0,0.0001
746,7.5e-05,2624200.0,1.17634,0.519795,C-coupled,ss,27.0,7.5e-05
747,0.0001,2825720.0,1.31502,0.596391,schematic,tt,100.0,0.0001
748,2.5e-05,5e-07,0.888123,0.714297,C-decoupled,tt,27.0,2.5e-05
749,7.5e-05,2483420.0,1.13024,0.52383,full-RC,sf,50.0,7.5e-05
750,0.00015,3533160.0,1.4185,0.438393,full-RC,tt,27.0,0.00015
751,0.0001,2783800.0,1.32215,0.531507,C-coupled,ss,75.0,0.0001
752,0.00015,3503320.0,1.51948,0.545914,schematic,fs,75.0,0.00015
753,0.00025,3777220.0,1.83247,0.484886,C-decoupled,ff,100.0,0.00025
754,0.0002,3770550.0,1.60933,0.428227,full-RC,tt,50.0,0.0002
755,0.00025,5e-07,1.68031,0.387879,C-coupled,fs,0.0,0.00025
756,7.5e-05,2360330.0,1.22534,0.712296,schematic,fs,100.0,7.5e-05
757,0.000125,3784810.0,1.30661,0.431811,schematic,tt,0.0,0.000125
758,0.000175,4291540.0,1.41318,0.357603,C-decoupled,tt,-25.0,0.000175
