icont period vc vb
2.5E-05 1.26274E-06 0.859747 0.649521
5E-05 4.87411E-07 1.00542 0.555577
7.5E-05 3.57563E-07 1.12048 0.487724
0.0001 3.07295E-07 1.2194 0.440606
0.000125 2.81077E-07 1.30808 0.408727
0.00015 2.66205E-07 1.38963 0.38547
0.000175 2.53244E-07 1.46587 0.367451
0.0002 2.41079E-07 1.53802 0.35292
0.000225 2.3563E-07 1.60691 0.34087
