icont period vc vb
2.5E-05 1.73679E-06 0.88653 0.748981
5E-05 5.33987E-07 1.04136 0.65122
7.5E-05 3.76543E-07 1.16444 0.579217
0.0001 3.22929E-07 1.27059 0.525305
0.000125 2.91226E-07 1.36595 0.487702
0.00015 2.72389E-07 1.45379 0.460436
0.000175 2.58781E-07 1.53604 0.439439
0.0002 2.50335E-07 1.61398 0.422579
0.000225 2.41132E-07 1.68849 0.408643
