icont period vc vb
2.5E-05 1.46057E-06 0.891422 0.669878
5E-05 4.87824E-07 1.02767 0.579476
7.5E-05 3.43614E-07 1.13487 0.512273
0.0001 2.92478E-07 1.22694 0.461536
0.000125 2.63748E-07 1.30946 0.426046
0.00015 2.47016E-07 1.38531 0.400459
0.000175 2.36168E-07 1.45621 0.380857
0.0002 2.24217E-07 1.5233 0.365169
0.000225 2E+06 1.58733 0.352227
