icont period vc vb
2.5E-05 1.90233E-06 0.884422 0.788895
5E-05 5.54141E-07 1.04848 0.687588
7.5E-05 3.96076E-07 1.17975 0.613274
0.0001 3.36062E-07 1.29327 0.557753
0.000125 3.0096E-07 1.39544 0.519042
0.00015 2.87671E-07 1.48968 0.490918
0.000175 2.67793E-07 1.57803 0.469221
0.0002 2.61737E-07 1.66184 0.45178
0.000225 2.51289E-07 1.74203 0.437357
