icont period vc vb
2.5E-05 2.09165E-06 0.882674 0.82895
5E-05 5.82393E-07 1.05615 0.724192
7.5E-05 4.18287E-07 1.19597 0.647614
0.0001 3.52467E-07 1.31732 0.59043
0.000125 3.20791E-07 1.42679 0.550548
0.00015 2.97176E-07 1.52794 0.521538
0.000175 2.8211E-07 1.62292 0.499128
0.0002 2.73932E-07 1.71316 0.481101
0.000225 2.61868E-07 1.79961 0.46619
