icont period vc vb
2.5E-05 1.30507E-06 0.909866 0.681244
5E-05 4.87842E-07 1.05894 0.58504
7.5E-05 3.54918E-07 1.17691 0.514832
0.0001 3.06278E-07 1.27852 0.464974
0.000125 2.838E-07 1.36978 0.431184
0.00015 2.65611E-07 1.45383 0.40667
0.000175 2.51828E-07 1.53253 0.38776
0.0002 2.39835E-07 1.60712 0.372563
0.000225 2.32403E-07 1.67842 0.359998
