icont period vc vb
2.5E-05 1.60529E-06 0.888691 0.712451
5E-05 5.1392E-07 1.03502 0.618031
7.5E-05 3.59409E-07 1.15075 0.548204
0.0001 3.06799E-07 1.25035 0.495754
0.000125 2.80322E-07 1.33971 0.459138
0.00015 2.61438E-07 1.42194 0.432649
0.000175 2.47764E-07 1.49887 0.412293
0.0002 2.39803E-07 1.57171 0.395969
0.000225 2.29028E-07 1.64128 0.382486
