icont period vc vb
2.5E-05 2.05306E-06 0.867751 0.744522
5E-05 5.47891E-07 1.01145 0.651816
7.5E-05 3.69379E-07 1.12505 0.58281
0.0001 3.09228E-07 1.22272 0.528722
0.000125 2.79882E-07 1.31028 0.489196
0.00015 2.59676E-07 1.39078 0.460513
0.000175 2.46718E-07 1.46603 0.438561
0.0002 2.35976E-07 1.53721 0.421007
0.000225 2.28064E-07 1.60515 0.40653
